id,title,original_title,overview,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,poster_path,backdrop_path,status,tagline,homepage,original_language,adult,video,created_at,updated_at,genres,_match_title,_match_year,_match_key
339727,Highlander,Highlander,An immortal Scottish swordsman faces off with other immortal warriors in order to obtain a coveted prize: mortality.,,0.0,0.0,0.0,0.0,0,5.0981,,,In Production,,,en,0,0,2026-02-13 12:54:19,2026-02-13T18:24:19.220139,"Fantasy,Action,Science Fiction",highlander,,
425499,Painkiller Jane,Painkiller Jane,"Jane Vasko is a New York City street cop who gets recruited by the FBI to infiltrate a major NYC drug and human trafficking ring. In a near death experience, Jane develops exceptional regenerative abilities that give her a unique indestructible advantage. With nothing to live for and no way to die, Painkiller Jane becomes an unstoppable force of nature seeking revenge to those who destroyed her life as she leaves a path of death and destruction in her wake.",,0.0,0.0,0.0,0.0,0,3.7732,/tifLFb2i3fEHvQcgEfThfCUDpTN.jpg,,Planned,,,en,0,0,2026-02-13 13:57:22,2026-02-13T19:27:22.888983,"Action,Thriller,Crime",painkiller jane,,
454622,Mama 2,Mama 2,"A follow-up to the 2013 horror film directed by Andy Muschietti, ""Mama"".",,0.0,0.0,0.0,0.0,0,4.4926,/2dQ5JajCap3PI9kqDjYWtWZyZqp.jpg,/5a7bvFTy36wqVwnkGfUxjMPDzyR.jpg,Rumored,,,en,0,0,2026-02-13 13:32:49,2026-02-13T19:02:49.245356,"Horror,Thriller,Mystery",mama 2,,
457697,XXXXXXX,XXXXXXX,A tarot card reading as a starting point.  A disruptive relationship as a point.  Translation of the cards' symbols to a joint.,,,,,,,,,,,,,,,,,,,xxxxxxx,,
 Of the domestic exploration for finding my voice.,2016-09-01,13,0,0,6.9,8.0,7.0096,/vHwkMU0gKTDlg5A5kdgvcwKLtP3.jpg,/Zp8mpyaryqyivgRShaBJdUuLBN.jpg,Released,,,en,0,0,2026-02-13 11:34:30,2026-02-13T17:04:30.093764,Documentary,,,,2016 09 01,,
511993,Cursed,Cursed,A prominent psychiatrist at a state run hospital wrestles with madness and a dark supernatural force as he races to stop an escaped patient from butchering five people held hostage in a remote house.,,0.0,0.0,0.0,0.0,0,4.3863,/y4Uba4QQcjEHqv5sw3f59PyMz8R.jpg,,Canceled,Someone Or Some Thing Has Come Back For Revenge.,,en,0,0,2026-02-13 13:27:45,2026-02-13T18:57:45.491536,"Horror,Thriller",cursed,,
528095,Poor Boy,Poor Boy,"“After a near fatal accident on his seventh birthday, a boy awakens from his coma, only to claim to be the reincarnation of a man who died seven years ago. As the boy’s parents and the family of the deceased man wrestle with suspicion and grief, they are faced with two impossible alternatives – are they dealing with a genuine rebirth or a vengeful ghost?”",,0.0,0.0,0.0,0.0,0,4.419,/4w06FbwSZzLzq93BsfTS7TS8izJ.jpg,/ppBoFKZj5j5FgBJkShpRErTlmdS.jpg,In Production,Beyond blood. Beyond bounds. Beyond belief.,,en,0,0,2026-02-13 13:43:23,2026-02-13T19:13:23.497993,"Drama,Thriller",poor boy,,
573030,Partynation,Partynation,,,0.0,0.0,0.0,0.0,0,3.0647,,,Released,,,de,0,0,2026-02-13 13:47:46,2026-02-13T19:17:46.026316,Drama,partynation,,
615679,Quartermaster,Quartermaster,Plot details are unknown other than that is is a high-concept thriller.,,0.0,0.0,0.0,0.0,0,3.4167,,,Canceled,,,en,0,0,2026-02-13 13:01:41,2026-02-13T18:31:41.470311,Thriller,quartermaster,,
734382,Time Agent,Time Agent,Based on the 2018 Korean sci-fi short film.,,0.0,0.0,0.0,0.0,0,3.8635,,,Planned,,,en,0,0,2026-02-13 14:05:13,2026-02-13T19:35:13.833276,"Action,Science Fiction",time agent,,
753155,Dollhouse,Dollhouse,"A psychological thriller in the spirit of Black Swan, is set in the world of the upper echelon of New York City’s fashion scene.",,0.0,0.0,0.0,0.0,0,4.1868,,,Rumored,,,en,0,0,2026-02-13 13:28:50,2026-02-13T18:58:50.421001,"Drama,Horror,Thriller",dollhouse,,
768135,Panic,Panic,"Dylan's nightmares are becoming more real. He's got to get away or he might not wake up. Jenny is all he lives for and he'll do anything for them to escape. In an isolated part of Wales, Dylan leads a humble life working the family farm. His only company is his father with whom he shares a fractious relationship. He's started making some extra money through some local low level drug dealers and plans to use the money to start his new dream life, away from the farm, his dad, and his visions of death.",,20.0,0.0,0.0,0.0,0,4.5839,/zfRZbXypoYftag59rqIezidbum6.jpg,,Released,,https://yoanndd.co.uk/project/panic/,en,0,0,2026-02-13 14:25:26,2026-02-13T19:55:26.657981,"Drama,Horror",panic,,
790164,Liz,Liz,A biopic about one of America's founding mothers Elizabeth Patterson Bonaparte.,,0.0,0.0,0.0,0.0,0,4.4253,/eiaBzbm03s14Q97jaJQtPvf0zbJ.jpg,,Planned,,,en,0,0,2026-02-13 13:45:16,2026-02-13T19:15:16.757055,History,liz,,
803907,Lear Rex,Lear Rex,"An aging king splits up his kingdom for his three daughters to govern, but is misled about their affections and driven into exile.",,0.0,0.0,0.0,0.0,0,4.5382,/vUu8zJZrobMRFwvmTaZ43GCu5GB.jpg,,In Production,,,en,0,0,2026-02-13 13:43:24,2026-02-13T19:13:24.675798,Drama,lear rex,,
841766,Petals,Petals,A flower seller on the streets of Los Angeles struggles with the pain and pleasure of chasing her dreams.,,11.0,0.0,0.0,0.0,0,3.5686,/8Sa5GLBUX0aF4ttm9Ru4UQnXX7W.jpg,/4P3r3dwe6IZOqlkJauoxoP6N6pF.jpg,Post Production,I Never Knew What I Could Be...,,en,0,0,2026-02-13 14:26:58,2026-02-13T19:56:58.819258,,petals,,
875081,KIllerdate.com,KIllerdate.com,Lonely people find extraordinary relationships at Killerdate.com,,3.0,0.0,0.0,4.0,3,4.241,/tSbVHOWbowolETsh19eouBW2Uiy.jpg,,Released,"Lonely people find extraordinary relationships at, Killerdate.com",,en,0,0,2026-02-13 14:19:34,2026-02-13T19:49:34.458904,"Horror,Comedy,Romance",killerdate com,,
882860,Lankin,Lankin,Henry Lankin must set out on a woman-hunt to track down the only person who can clear his name - but will the woman who committed the crime be so keen to get him off the hook?,,59.0,8000.0,0.0,0.0,0,4.0162,/zelv2hU7kwCIyJzR1vOG5zLjgsl.jpg,,Released,,,en,0,0,2026-02-13 14:18:45,2026-02-13T19:48:45.273715,,lankin,,
937270,Mirage,Mirage,"After committing a crime, an African soccer player finds himself on the run. He finds refuge in an isolated farmhouse in Eastern Europe. He soon realizes that this is a slave camp. He must fight not only for his survival, but also for his freedom.",,0.0,0.0,0.0,0.0,0,4.0286,/8C4ZFwU4mHe0oVqRYUx0EZmXEnw.jpg,,In Production,,http://yaztorii.com/mirage.html,ja,0,0,2026-02-13 14:14:56,2026-02-13T19:44:56.284325,"Drama,Western",mirage,,
956015,Thelma,Thelma,"Follows John Kennedy Toole's mother, the Pulitzer Prize winning author of A Confederacy of Dunces. Toole died by suicide before finding a home for his masterpiece, and his mother Thelma, made it her life's mission.",,0.0,0.0,0.0,0.0,0,4.3721,/wnrhhKQKbAMYx4aRHb24zJ9wBu5.jpg,,Canceled,,,en,0,0,2026-02-13 12:58:06,2026-02-13T18:28:06.939584,Drama,thelma,,
974349,Distance,Distance,A family struggles with the decision to help their wanted son elude prison.,,0.0,0.0,0.0,0.0,0,4.2112,/g1J66sCp95f0Uzg759wjPaKq3VC.jpg,,Post Production,,,en,0,0,2026-02-13 14:27:29,2026-02-13T19:57:29.848278,Drama,distance,,
1084239,Wrinkles,Wrinkles,"Tragedy befalls a lonely stay-at-home mother, who struggles to cope with the reality of her recent pregnancy.",,10.0,12000.0,0.0,0.0,0,4.2397,/36LCqpkOTNi2PTlFQXqmspcgjmT.jpg,,Post Production,,,en,0,0,2026-02-13 13:38:46,2026-02-13T19:08:46.619912,Drama,wrinkles,,
1211876,Thanksgiving 2,Thanksgiving 2,The sequel to Thanksgiving (2023). Plot TBA.,,0.0,0.0,0.0,0.0,0,4.0394,/bKgFCiP7X6sePrmAfWF79NwgkpT.jpg,,Planned,,,en,0,0,2026-02-13 13:46:37,2026-02-13T19:16:37.834718,"Horror,Mystery",thanksgiving 2,,
1218005,Orphans,Orphans,"A ruthless con artist targets a wealthy European household, but her calculated scheme hits an unexpected snag when someone discovers her dark past and vows to expose her true identity.",,0.0,0.0,0.0,0.0,0,3.6083,,/ePGj23iFeSCFs2iBjhhXdEvGRw5.jpg,Post Production,,,en,0,0,2026-02-13 13:43:13,2026-02-13T19:13:13.161902,"Horror,Thriller",orphans,,
1218007,Rat King,Rat King,"Anick, introverted and bullied, becomes an unlikely hero when an AI in shape of a fierce Medieval girl reaches out through time, seeking help to defeat the Rat King, a creature who wants to build a shadow realm of hate and lies. Rat King is a 3D animated adventurous feature film, for a target audience 10 years old up to all ages. While it tells the exciting and funny present-day story of Anick, a 13-year-old girl, it refers to German fairy tales as well as to Japanese anime and pop culture combined with queries about how social media and AI changes the way we define ourselves.",,90.0,0.0,0.0,0.0,0,2.6392,/p96bfMQkVQoLIxsFbIITgvWfbTg.jpg,/iFYl4fmpTenbmsstmaF0AL2dxjB.jpg,In Production,,https://traumhaus-studios.de/portfolio/rat-king,de,0,0,2026-02-13 14:21:54,2026-02-13T19:51:54.796891,"Animation,Family",rat king,,
1218045,The Flying Man's Prophecy,VilleVermine,"In a world on the brink of collapse, Jacques, a taciturn giant, lives in isolation surrounded by abandoned objects that he has repaired. Jacques does not suffer from loneliness because, since childhood, he has had a unique ability: he can communicate with objects! Jacques discovers that a radical scientist despises humanity and its materialism to the extent of exterminating all forms of life outside of plants and insects. Forced to take a stand for humans, Jacques allies himself with a fierce orphan, a rebellious runaway, and a woman fighting for her independence. In this urban odyssey, they initiate the awakening of a new society: reuse objects and respecting all living beings.",,80.0,0.0,0.0,0.0,0,4.1176,/bBwpIh6DEbarjfZaeEazf8TlYHO.jpg,,Planned,,https://squarefish.eu/prod/feature/#ville-vermine,nl,0,0,2026-02-13 13:50:39,2026-02-13T19:20:39.536292,"Animation,Action",the flying man s prophecy,,
1245116,Shelter,Shelter,Plot kept under wraps. The project is an original horror film set in post-apocalyptic Los Angeles.,,0.0,0.0,0.0,0.0,0,4.4797,,,Planned,,,en,0,0,2026-02-13 12:55:21,2026-02-13T18:25:21.456663,Horror,shelter,,
1248820,Quarter,Quarter,"Kelly, a young woman living with Type 1 diabetes, is about to turn 25, as she deals with the ups and downs of her blood sugar levels and the ups and downs of her personal life.",,0.0,0.0,0.0,0.0,0,4.5753,/1P68oOf9uBw8tbLc1CaJBQuJiWX.jpg,,Post Production,,,en,0,0,2026-02-13 12:56:01,2026-02-13T18:26:01.702262,"Drama,Comedy",quarter,,
1249693,American Psycho,American Psycho,A reimagined adaption of the novel in the fast-paced modern era. Plot TBA.,,0.0,0.0,0.0,0.0,0,4.487,,,Planned,,,en,0,0,2026-02-13 12:47:24,2026-02-13T18:17:24.135955,"Drama,Horror,Thriller",american psycho,,
1249960,Weep,Weep,A modern take on the classic ghost tale of “La Llorona”.,,0.0,0.0,0.0,0.0,0,4.6901,,,Planned,,,en,0,0,2026-02-13 12:48:41,2026-02-13T18:18:41.939579,Horror,weep,,
1255777,Dutch & Razzlekhan,Dutch & Razzlekhan,"The explosive story of the world's most expensive heist, valued at $4.5Billion, and the real life lovebirds, hipsters, and wannabe rappers at its center.",,0.0,0.0,0.0,0.0,0,5.025,,,Rumored,,,en,0,0,2026-02-13 12:40:42,2026-02-13T18:10:42.554821,"Drama,Crime",dutch razzlekhan,,
1283193,The Collected,The Collected,This is the third film in The Collector film series. Follow up to The Collection (2012) by Marcus Dunstan and Patrick Melton.,,0.0,0.0,0.0,0.0,0,4.9779,/2QUIrPdUxk8ovHPALWUw44H6PMI.jpg,/f2xtV56NKtikJ71pYZSaUH9DtYm.jpg,Canceled,,,en,0,0,2026-02-13 12:21:32,2026-02-13T17:51:32.818840,Horror,the collected,,
1285006,Head Games,Head Games,A corporate spy poses as a personal chef to infiltrate the villa of a former founder of a neuroprosthetics firm in order to steal his seismic-shifting new invention.,,0.0,0.0,0.0,0.0,0,3.4079,,,Canceled,,,en,0,0,2026-02-13 13:26:13,2026-02-13T18:56:13.221128,Thriller,head games,,
1287520,November 1963,November 1963,"Unfolds within the intense 48-hour period surrounding the assassination of President John F. Kennedy. The film sheds light on crime group the Chicago Outfit’s alleged involvement in the assassination and draws directly from first-hand accounts, including insights from the family of crime boss Sam Giancana.",,0.0,0.0,0.0,0.0,0,5.1433,/sao264XXHRni4pmYnCTPirD67Qc.jpg,,Planned,BETRAYED BY POWER. FUELED BY REVENGE.,,en,0,0,2026-02-13 12:34:09,2026-02-13T18:04:09.260978,"History,Thriller,Crime",november 1963,,
1288069,Tenzing,Tenzing,"A biopic of Tenzing Norgay, the legendary Nepalese-Indian mountaineer who summited Mount Everest with Sir Edmund Hillary in 1953, becoming one of the first men to stand on the top of the world.",,0.0,0.0,0.0,0.0,0,4.443,,,In Production,,,en,0,0,2026-02-13 13:30:51,2026-02-13T19:00:51.895702,Drama,tenzing,,
1301791,RAPT,RAPT,A young woman navigates a surreal audition process where her boundaries are tested in pursuit of a coveted spot in an elite acting program.,,12.0,0.0,0.0,0.0,0,4.5638,/kVqVOzyaE3SRDLUXGLkL6J5vjXf.jpg,,Released,,,en,0,0,2026-02-13 12:31:31,2026-02-13T18:01:31.978695,,rapt,,
1307118,Soulm8te,Soulm8te,"A man acquires an Artificially Intelligent android to cope with the loss of his recently deceased wife. In an attempt to create a truly sentient partner, he inadvertently turns a harmless lovebot into a deadly soulmate.",,0.0,0.0,0.0,0.0,0,5.3617,/q0XwYzZywCbuVVcillmLXABw9Ax.jpg,,Post Production,,,en,0,0,2026-02-13 12:26:08,2026-02-13T17:56:08.570830,"Horror,Thriller,Science Fiction",soulm8te,,
1316999,Tangles,Tangles,"When Alzheimer’s disease begins to strip away her mother’s vibrant personality, a headstrong young woman is forced to return to her oddball family in the conservative small town she recently fled in order to care for her. She quickly realizes she must accept the cruel and warped reality of the disease, and the imperfect beauty of her family, in order to become the daughter they need.",,0.0,0.0,0.0,0.0,0,4.1168,,,Planned,,,en,0,0,2026-02-13 14:11:09,2026-02-13T19:41:09.568965,"Animation,Drama",tangles,,
1323804,Shortlegs,Shortlegs,Detective Reeves finds she has a dark history linked to the infamous Shortlegs serial killer. She must discover the truth behind the horrific murders before she is next on his chopping block.,,0.0,0.0,0.0,0.0,0,3.9371,,,Canceled,,,en,0,0,2026-02-13 14:20:33,2026-02-13T19:50:33.963597,"Horror,Thriller",shortlegs,,
1352221,Prick,Prick,A Podcaster lands the interview of a lifetime.,,11.0,0.0,0.0,0.0,0,4.4356,/wOer9y4xkgzzQhb816X60aY8MQG.jpg,,Post Production,,https://www.murphymultimedia.com/prick,en,0,0,2026-02-13 14:00:26,2026-02-13T19:30:26.502598,Drama,prick,,
1355941,Loser,Loser,"Alice, a brilliant but troubled physicist, attempts to heal her trauma by using time travel but gets caught in a twisty, cat-and-mouse game of murder and violence in New York City.",,0.0,0.0,0.0,0.0,0,5.7843,/xCPJGHkzZ8kCIAjiNIStLIDiLsT.jpg,,In Production,,,en,0,0,2026-02-13 12:01:11,2026-02-13T17:31:11.342960,Thriller,loser,,
1360939,Faust,Faust,"Faust, an old, bright but desperate man, struggles with the sense of his life. After trying all kinds of sciences he enters into a contract with the devil, Mephistopheles, to feel life, joy and desire again. Mephistopheles promises him to get full satisfaction by enjoying and celebrating all the worldly pleasures: outstanding parties, being young again, the love of a woman. To fulfill the pact, Faust offers him his soul after his death. Their journey begins and leaves many people in total despair...",,125.0,0.0,0.0,0.0,0,4.2415,/mHxrf1PGSCujXeHHzLyT1iMR5kd.jpg,,Post Production,"From Heaven, through the world, to Hell!",http://www.faust-derfilm.com/,de,0,0,2026-02-13 14:06:19,2026-02-13T19:36:19.346158,"Fantasy,Drama,Thriller",faust,,
1368358,Shinobi,Shinobi,A contemporary ninja battles formidable forces of darkness.,,0.0,0.0,0.0,0.0,0,4.5047,,,In Production,,,en,0,0,2026-02-13 13:55:11,2026-02-13T19:25:11.812059,"Adventure,Action",shinobi,,
1374950,Out There,Out There,Revolves around a fractured family who must face the most catastrophic day of their lives. Plot TBA.,,0.0,0.0,0.0,0.0,0,2.9516,,,Planned,,,en,0,0,2026-02-13 14:22:45,2026-02-13T19:52:45.688976,Science Fiction,out there,,
1375832,Jon,Jon,,,0.0,600.0,0.0,0.0,0,4.5707,/zbTXzGlHDXh6iBh4Q64wYxn0LSd.jpg,/j7B4CCHdaKPfqlZNGT9AwIbm36q.jpg,Released,,,es,0,0,2026-02-13 13:33:20,2026-02-13T19:03:20.933264,Crime,jon,,
1406543,Karakkam,Karakkam,,,0.0,0.0,0.0,0.0,0,4.7416,,,Post Production,,,ml,0,0,2026-02-13 13:43:18,2026-02-13T19:13:18.700582,Horror,karakkam,,
1420885,Fancy dress,Fancy dress,"Four friends hang out at New Year’s Eve. One is dressed up as a pirate, one a monkey, someone’s a nun and the other one is Wonder Woman.",,10.0,0.0,0.0,0.0,0,4.2467,,,Released,What happens at new years stays at new years,,en,0,0,2026-02-13 13:25:23,2026-02-13T18:55:23.809519,,fancy dress,,
1421304,Blasphemy,Blasphemy,A woman balancing work and motherhood must decide which to sacrifice when she's targeted by a cyberattack and anonymous threats.,,0.0,0.0,0.0,0.0,0,3.9561,/wYi8dDwZrsjWOYZgHmzEnMnwISW.jpg,,Post Production,,,da,0,0,2026-02-13 14:11:24,2026-02-13T19:41:24.316931,"Horror,Mystery",blasphemy,,
1426451,Risas,Risas,"The story follows a girl named Lila, who, after her father's death, discovers she has the ability to communicate with him from beyond the grave. As she explores this supernatural connection, she faces emotional challenges and family secrets that will test her faith in what she thought was possible.",,0.0,0.0,0.0,0.0,0,4.4921,,,In Production,,,es,0,0,2026-02-13 13:01:40,2026-02-13T18:31:40.236691,Drama,risas,,
1432046,남친깨기전에빨리빼!,남친깨기전에빨리빼!,,2021-03-07,0.0,0.0,0.0,0.0,0,6.2948,/g0NN2e7WXekSGFyjtf4fTLEsOEh.jpg,,Released,,,ko,0,0,2026-02-13 11:49:37,2026-02-13T17:19:37.063091,,,2021,
1457740,Impunity,Impunidad,A former spy is tasked with preventing the Chilean dictator Augusto Pinochet’s escape after his arrest in London sparks international tensions.,,0.0,0.0,0.0,0.0,0,5.4972,,,Planned,,,en,0,0,2026-02-13 12:00:47,2026-02-13T17:30:47.102297,Thriller,impunity,,
1457866,The Adventures of Cliff Booth,The Adventures of Cliff Booth,"Eight years after the events of Once Upon a Time in… Hollywood, Cliff Booth navigates the studio system in his new role as a fixer.",,0.0,0.0,0.0,0.0,0,5.0976,,,Post Production,,,en,0,0,2026-02-13 12:52:20,2026-02-13T18:22:20.581669,"Drama,Comedy,Thriller",the adventures of cliff booth,,
