_match_key,movie_id,title,release_date,budget,revenue
1 | 2013,217316,1,2013-09-30,0,0
1 | 2013,176068,+1,2013-09-20,0,0
11 11 11 | 2011,79078,11/11/11,2011-11-01,0,0
11 11 11 | 2011,51248,11-11-11,2011-11-11,0,6963872
a better life | 2011,55720,A Better Life,2011-06-24,10000000,1800000
a better life | 2011,85546,A Better Life,2011-11-18,0,0
alone | 2020,661950,Alone,2020-10-23,0,0
alone | 2020,509635,Alone,2020-09-10,0,0
beast | 2022,760741,Beast,2022-08-11,36000000,56000000
beast | 2022,800383,Beast,2022-04-12,19750995,0
beats | 2019,603519,Beats,2019-06-19,0,0
beats | 2019,493141,Beats,2019-05-17,25000,310827
becoming | 2020,699280,Becoming,2020-05-06,0,0
becoming | 2020,526052,Becoming,2020-04-16,0,0
beneath | 2013,257874,Beneath,2013-10-08,89,0
beneath | 2013,191619,Beneath,2013-07-19,0,0
body | 2015,319999,Body,2015-01-20,0,0
body | 2015,314420,Body,2015-12-11,0,2634
brothers | 2024,1001089,Brothers,2024-04-24,0,0
brothers | 2024,616446,Brothers,2024-10-10,0,0
cobweb | 2023,709631,Cobweb,2023-07-19,13000000,10091821
cobweb | 2023,901121,Cobweb,2023-09-27,0,126
delirium | 2018,401732,Delirium,2018-01-19,1000000,0
delirium | 2018,340601,Delirium,2018-05-10,0,0
escape room | 2017,431259,Escape Room,2017-08-31,0,0
escape room | 2017,449664,Escape Room,2017-06-19,0,1870824
escape | 2024,1078744,Escape,2024-10-31,0,0
escape | 2024,1164892,Escape,2024-03-15,0,0
escape | 2024,921436,Escape,2024-07-03,6606856,13368094
euphoria | 2018,407440,Euphoria,2018-02-01,0,0
euphoria | 2018,517940,Euphoria,2018-10-25,0,0
flashback | 2021,809065,Flashback,2021-11-11,0,0
flashback | 2021,522406,Flashback,2021-06-03,0,26747
into the forest | 2016,334538,Into the Forest,2016-06-03,0,9995
into the forest | 2016,406298,Into the Forest,2016-10-05,0,0
leap year | 2010,25195,Leap Year,2010-01-08,19000000,32686500
leap year | 2010,63555,Leap Year,2010-05-17,0,0
leo | 2023,949229,Leo,2023-10-18,42219285,71772785
leo | 2023,1075794,Leo,2023-11-17,0,0
lucky | 2017,407449,Lucky,2017-09-29,0,955925
lucky | 2017,449856,Lucky,2017-05-20,0,0
lucky | 2020,670426,Lucky,2020-03-16,0,0
lucky | 2020,658156,Lucky,2020-02-26,0,0
lullaby | 2022,702621,Lullaby,2022-12-16,20000000,0
lullaby | 2022,835504,Lullaby,2022-05-17,0,0
monster | 2023,1050035,Monster,2023-06-02,0,0
monster | 2023,1203484,Monster,2023-11-29,0,0
mosul | 2019,618219,Mosul,2019-09-04,0,0
mosul | 2019,594082,Mosul,2019-05-14,0,0
mother | 2017,466874,Mother,2017-03-10,0,0
mother | 2017,381283,mother!,2017-09-13,30000000,44516999
qwerty | 2012,123587,Qwerty,2012-07-28,0,0
qwerty | 2012,857777,Qwerty,2012-06-29,0,0
return | 2015,320367,Return,2015-01-01,0,0
return | 2015,379862,Return,2015-11-28,0,0
return | 2015,464446,Return,2015-07-04,0,0
return | 2023,1091834,Return,2023-02-19,0,0
return | 2023,1188150,Return,2023-09-26,0,0
return | 2024,1268052,Return,2024-03-21,0,0
return | 2024,1384231,RETURN,2024-11-07,0,0
ride | 2018,542905,Ride,2018-10-05,0,0
ride | 2018,535561,Ride,2018-09-06,0,346665
rise | 2022,771077,Rise,2022-03-30,7780000,11196824
rise | 2022,759054,Rise,2022-06-23,0,0
sing | 2016,427416,Sing,2016-11-06,0,0
sing | 2016,335797,Sing,2016-11-23,75000000,634151679
skin | 2019,542417,Skin,2019-07-26,0,0
skin | 2019,569485,Skin,2019-02-08,0,0
succubus | 2024,1130276,Succubus,2024-10-06,0,0
succubus | 2024,1152368,Succubus,2024-04-11,0,0
swan song | 2021,794602,Swan Song,2021-08-06,0,125012
swan song | 2021,765245,Swan Song,2021-12-17,0,0
sweetheart | 2019,463843,Sweetheart,2019-01-28,0,0
sweetheart | 2019,547539,Sweetheart,2019-03-13,8000000,0
the bodyguard | 2016,315669,The Bodyguard,2016-04-01,0,0
the bodyguard | 2016,399300,The Bodyguard,2016-07-15,0,808237
the call | 2020,575604,The Call,2020-11-23,0,0
the call | 2020,746817,The Call,2020-10-23,0,791762
the house | 2022,960139,The House,2022-11-16,2600000,0
the house | 2022,926899,The House,2022-01-14,0,0
the nightmare | 2015,346641,The Nightmare,2015-07-01,85876,0
the nightmare | 2015,312827,The Nightmare,2015-06-05,0,28281
the princess | 2022,759175,The Princess,2022-06-16,0,0
the princess | 2022,1008779,The Princess,2022-02-01,0,0
the witness | 2015,365719,The Witness,2015-10-30,0,418063
the witness | 2015,356332,The Witness,2015-10-06,0,0
veronica | 2017,423611,Veronica,2017-08-14,650000,0
veronica | 2017,441701,Veronica,2017-08-25,0,0
war of the buttons | 2011,74945,War of the Buttons,2011-09-21,0,15000000
war of the buttons | 2011,74944,War of the Buttons,2011-09-14,0,12000000
zoo | 2018,552504,Zoo,2018-10-05,0,0
zoo | 2018,472553,Zoo,2018-06-08,4000000,231719
