title,release_date,log_budget,release_year,release_month,release_quarter,holiday_release,director_prior_films,director_prior_avg_gross,star_prior_films,star_prior_avg_gross,company_prior_films,company_prior_avg_gross,primary_genre,release_season,worldwide_box_office,log_worldwide_box_office
The Shining,1980-06-13,16.759949589762293,1980,6.0,2.0,0,0,,0,,0,,Unknown,summer,46998772.0,17.665632052950578
The Blue Lagoon,1980-07-02,15.319588176962746,1980,7.0,3.0,0,0,,0,,0,,Unknown,summer,58853106.0,17.89055518551908
Star Wars: Episode V - The Empire Strikes Back,1980-06-20,16.705882371415992,1980,6.0,2.0,0,0,,0,,0,,Unknown,summer,538375067.0,20.104066027644553
Airplane!,1980-07-02,15.068273812173887,1980,7.0,3.0,0,0,,0,,0,,Unknown,summer,83453539.0,18.239800627783534
Caddyshack,1980-07-25,15.607270193858982,1980,7.0,3.0,0,0,,0,,0,,Unknown,summer,39846344.0,17.500541240048012
Friday the 13th,1980-05-09,13.217675375388819,1980,5.0,2.0,0,0,,0,,0,,Unknown,summer,39754601.0,17.498236165948278
The Blues Brothers,1980-06-20,17.11134746100564,1980,6.0,2.0,0,0,,0,,0,,Unknown,summer,115229890.0,18.56243974305553
Raging Bull,1980-12-19,16.705882371415992,1980,12.0,4.0,1,0,,0,,0,,Unknown,holiday,23402427.0,16.968350335628923
Superman II,1981-06-19,17.804494623047066,1980,6.0,2.0,0,0,,0,,0,,Unknown,summer,108185706.0,18.499359817684223
The Long Riders,1980-05-16,16.118095750958314,1980,5.0,2.0,0,0,,0,,0,,Unknown,summer,15795189.0,16.575216021269114
Any Which Way You Can,1980-12-17,16.52356082573315,1980,12.0,4.0,1,0,,0,,0,,Unknown,holiday,70687344.0,18.07377711908843
The Gods Must Be Crazy,1984-10-26,15.424948670398354,1980,10.0,4.0,0,0,,0,,0,,Unknown,fall,30031783.0,17.217766845454378
Popeye,1980-12-12,16.811242881518265,1980,12.0,4.0,1,0,,0,,0,,Unknown,holiday,49823037.0,17.72398804546543
Ordinary People,1980-09-19,15.607270193858982,1980,9.0,3.0,0,0,,0,,0,,Unknown,fall,54766923.0,17.8185969930502
Dressed to Kill,1980-07-25,15.687312888712007,1980,7.0,3.0,0,0,,0,,0,,Unknown,summer,31899000.0,17.27808525065028
Somewhere in Time,1980-10-03,15.444751293772967,1980,10.0,4.0,0,0,,0,,0,,Unknown,fall,9709597.0,16.08862543879256
Fame,1980-05-16,,1980,5.0,2.0,0,0,,0,,0,,Unknown,summer,21202829.0,16.869645221299205
9 to 5,1980-12-19,16.118095750958314,1980,12.0,4.0,1,0,,0,,0,,Unknown,holiday,103300686.0,18.45315458460018
The Fog,1980-02-08,13.815511557963774,1980,2.0,1.0,0,0,,0,,0,,Unknown,winter,21448782.0,16.88117846513198
Stir Crazy,1980-12-12,,1980,12.0,4.0,1,0,,0,,0,,Unknown,holiday,101300000.0,18.43359697909058
Cruising,1980-02-15,16.213405921671733,1980,2.0,1.0,0,0,,0,,0,,Unknown,winter,19814523.0,16.801925762112734
Heaven's Gate,1981-04-24,17.599700214609808,1980,4.0,2.0,0,0,,0,,0,,Unknown,spring,3484523.0,15.063842007482277
The Final Countdown,1980-08-01,16.300417291085605,1980,8.0,3.0,0,0,,0,,0,,Unknown,winter,16647800.0,16.627788693596372
Xanadu,1980-08-08,16.811242881518265,1980,8.0,3.0,0,0,,0,,0,,Unknown,winter,22762571.0,16.940628166110198
Urban Cowboy,1980-06-06,,1980,6.0,2.0,0,0,,0,,0,,Unknown,summer,46918287.0,17.663918093445325
Altered States,1980-12-25,,1980,12.0,4.0,1,0,,0,,0,,Unknown,holiday,19853892.0,16.803910666775085
Little Darlings,1980-03-21,,1980,3.0,1.0,0,0,,0,,0,,Unknown,spring,34326249.0,17.351420925561214
Brubaker,1980-06-20,16.012735246411598,1980,6.0,2.0,0,0,,0,,0,,Unknown,summer,37121708.0,17.42971250469316
American Gigolo,1980-02-01,15.38412668421143,1980,2.0,1.0,0,0,,0,,0,,Unknown,winter,22743674.0,16.939797642727935
My Bodyguard,1980-09-26,,1980,9.0,3.0,0,0,,0,,0,,Unknown,fall,22482952.0,16.9282679355726
Prom Night,1980-07-18,,1980,7.0,3.0,0,0,,0,,0,,Unknown,summer,14796236.0,16.509883449648857
Smokey and the Bandit II,1980-08-15,,1980,8.0,3.0,0,0,,0,,0,,Unknown,winter,66132626.0,18.007172783646354
Cattle Annie and Little Britches,1981-04-24,15.444751293772967,1980,4.0,2.0,0,0,,0,,0,,Unknown,spring,534816.0,13.189679911288854
Seems Like Old Times,1980-12-19,,1980,12.0,4.0,1,0,,0,,0,,Unknown,holiday,43995918.0,17.59960743758099
Private Benjamin,1980-10-10,16.118095750958314,1980,10.0,4.0,0,0,,0,,0,,Unknown,fall,69847348.0,18.061822690191114
The Hollywood Knights,1980-05-30,15.201805169084134,1980,5.0,2.0,0,0,,0,,0,,Unknown,summer,10000000.0,16.118095750958314
Motel Hell,1980-10-24,14.914123179965662,1980,10.0,4.0,0,0,,0,,0,,Unknown,fall,6342668.0,15.662810215745047
The Jazz Singer,1980-12-19,,1980,12.0,4.0,1,0,,0,,0,,Unknown,holiday,27118000.0,17.115708308880265
Coal Miner's Daughter,1980-03-07,,1980,3.0,1.0,0,0,,0,,0,,Unknown,spring,67182787.0,18.02292764173386
The Watcher in the Woods,1981-10-09,,1980,10.0,4.0,0,0,,0,,0,,Unknown,fall,5000000.0,15.424948670398354
The Stunt Man,1980-06-27,15.068273812173887,1980,6.0,2.0,0,0,,0,,0,,Unknown,summer,7063886.0,15.770506024535495
Where the Buffalo Roam,1980-04-25,,1980,4.0,2.0,0,0,,0,,0,,Unknown,spring,6659377.0,15.711536644761743
The Awakening,1980-10-31,,1980,10.0,4.0,0,0,,0,,0,,Unknown,fall,8415112.0,15.945539813918547
Cheech and Chong's Next Movie,1980-07-18,,1980,7.0,3.0,0,0,,0,,0,,Unknown,summer,41675194.0,17.545416665654372
The Island,1980-06-13,16.906553056777135,1980,6.0,2.0,0,0,,0,,0,,Unknown,summer,15716828.0,16.57024260706036
The Nude Bomb,1980-05-09,16.52356082573315,1980,5.0,2.0,0,0,,0,,0,,Unknown,summer,14662035.0,16.50077212608935
Stardust Memories,1980-09-26,16.118095750958314,1980,9.0,3.0,0,0,,0,,0,,Unknown,fall,10389003.0,16.156258497075214
Melvin and Howard,1980-09-19,15.76142084987672,1980,9.0,3.0,0,0,,0,,0,,Unknown,fall,4309490.0,15.276330357658082
Bronco Billy,1980-06-11,15.687312888712007,1980,6.0,2.0,0,0,,0,,0,,Unknown,summer,24265659.0,17.004572740121855
City of Women,1981-04-08,,1980,4.0,2.0,0,0,,0,,0,,Unknown,spring,12516.0,9.434842999328023
When Time Ran Out...,1980-03-28,16.811242881518265,1980,3.0,1.0,0,0,,0,,0,,Unknown,spring,3763988.0,15.140989857260182
Oh Heavenly Dog,1980-07-11,15.607270193858982,1980,7.0,3.0,0,0,,0,,0,,Unknown,summer,6216067.0,15.642648110480724
The Octagon,1980-08-15,15.201805169084134,1980,8.0,3.0,0,0,,0,,0,,Unknown,winter,18971000.0,16.758422108046716
Herbie Goes Bananas,1980-06-25,,1980,6.0,2.0,0,0,,0,,0,,Unknown,summer,18000000.0,16.705882371415992
The Competition,1980-12-03,,1980,12.0,4.0,1,0,,0,,0,,Unknown,holiday,14287755.0,16.474913504684963
Honeysuckle Rose,1980-07-18,,1980,7.0,3.0,0,0,,0,,0,,Unknown,summer,17815212.0,16.69556331316727
Resurrection,1980-09-26,,1980,9.0,3.0,0,0,,0,,0,,Unknown,fall,3910019.0,15.17905304703798
Fatso,1980-02-01,,1980,2.0,1.0,0,0,,0,,0,,Unknown,winter,7653061.0,15.850616387157386
The Fiendish Plot of Dr. Fu Manchu,1980-08-08,,1980,8.0,3.0,0,0,,0,,0,,Unknown,winter,10697276.0,16.185499781063776
Serial,1980-03-28,,1980,3.0,1.0,0,0,,0,,0,,Unknown,spring,9870727.0,16.10508416755486
Hero at Large,1980-02-08,,1980,2.0,1.0,0,0,,0,,0,,Unknown,winter,15934737.0,16.584012063903614
Wholly Moses!,1980-06-13,,1980,6.0,2.0,0,0,,0,,0,,Unknown,summer,14155617.0,16.46562213505937
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",1980-05-30,,1980,5.0,2.0,0,0,,0,,0,,Unknown,summer,2013193.0,14.515233073550078
In God We Trust (or Gimme That Prime Time Religion),1980-09-26,,1980,9.0,3.0,0,0,,0,,0,,Unknown,fall,5215015.0,15.46705271448517
Roadie,1980-06-13,,1980,6.0,2.0,0,0,,0,,0,,Unknown,summer,4226370.0,15.256854263177054
Just Tell Me What You Want,1980-01-18,,1980,1.0,1.0,0,0,,0,,0,,Unknown,winter,2086905.0,14.551193144316656
The Last Flight of Noah's Ark,1980-06-25,15.607270193858982,1980,6.0,2.0,0,0,,0,,0,,Unknown,summer,11000000.0,16.213405921671733
Little Miss Marker,1980-03-21,,1980,3.0,1.0,0,0,,0,,0,,Unknown,spring,6321392.0,15.659450153228423
Willie & Phil,1980-08-15,15.520258832020865,1980,8.0,3.0,0,0,,0,,0,,Unknown,winter,4400000.0,15.29711532616119
Babylon,,,1980,,,0,0,,0,,0,,Unknown,Unknown,109749.0,11.605960330937418
