title,release_date,release_year,worldwide_box_office,split
The Shining,1980-06-13,1980,46998772.0,train
The Blue Lagoon,1980-07-02,1980,58853106.0,train
Star Wars: Episode V - The Empire Strikes Back,1980-06-20,1980,538375067.0,train
Airplane!,1980-07-02,1980,83453539.0,train
Caddyshack,1980-07-25,1980,39846344.0,train
Friday the 13th,1980-05-09,1980,39754601.0,train
The Blues Brothers,1980-06-20,1980,115229890.0,train
Raging Bull,1980-12-19,1980,23402427.0,train
Superman II,1981-06-19,1980,108185706.0,train
The Long Riders,1980-05-16,1980,15795189.0,train
Any Which Way You Can,1980-12-17,1980,70687344.0,train
The Gods Must Be Crazy,1984-10-26,1980,30031783.0,train
Popeye,1980-12-12,1980,49823037.0,train
Ordinary People,1980-09-19,1980,54766923.0,train
Dressed to Kill,1980-07-25,1980,31899000.0,train
Somewhere in Time,1980-10-03,1980,9709597.0,train
Fame,1980-05-16,1980,21202829.0,train
9 to 5,1980-12-19,1980,103300686.0,train
The Fog,1980-02-08,1980,21448782.0,train
Stir Crazy,1980-12-12,1980,101300000.0,train
Cruising,1980-02-15,1980,19814523.0,train
Heaven's Gate,1981-04-24,1980,3484523.0,train
The Final Countdown,1980-08-01,1980,16647800.0,train
Xanadu,1980-08-08,1980,22762571.0,train
Urban Cowboy,1980-06-06,1980,46918287.0,train
Altered States,1980-12-25,1980,19853892.0,train
Little Darlings,1980-03-21,1980,34326249.0,train
Brubaker,1980-06-20,1980,37121708.0,train
American Gigolo,1980-02-01,1980,22743674.0,train
My Bodyguard,1980-09-26,1980,22482952.0,train
Prom Night,1980-07-18,1980,14796236.0,train
Smokey and the Bandit II,1980-08-15,1980,66132626.0,train
Cattle Annie and Little Britches,1981-04-24,1980,534816.0,train
Seems Like Old Times,1980-12-19,1980,43995918.0,train
Private Benjamin,1980-10-10,1980,69847348.0,train
The Hollywood Knights,1980-05-30,1980,10000000.0,train
Motel Hell,1980-10-24,1980,6342668.0,train
The Jazz Singer,1980-12-19,1980,27118000.0,train
Coal Miner's Daughter,1980-03-07,1980,67182787.0,train
The Watcher in the Woods,1981-10-09,1980,5000000.0,train
The Stunt Man,1980-06-27,1980,7063886.0,train
Where the Buffalo Roam,1980-04-25,1980,6659377.0,train
The Awakening,1980-10-31,1980,8415112.0,train
Cheech and Chong's Next Movie,1980-07-18,1980,41675194.0,train
The Island,1980-06-13,1980,15716828.0,train
The Nude Bomb,1980-05-09,1980,14662035.0,train
Stardust Memories,1980-09-26,1980,10389003.0,train
Melvin and Howard,1980-09-19,1980,4309490.0,train
Bronco Billy,1980-06-11,1980,24265659.0,train
City of Women,1981-04-08,1980,12516.0,train
When Time Ran Out...,1980-03-28,1980,3763988.0,train
Oh Heavenly Dog,1980-07-11,1980,6216067.0,train
The Octagon,1980-08-15,1980,18971000.0,train
Herbie Goes Bananas,1980-06-25,1980,18000000.0,train
The Competition,1980-12-03,1980,14287755.0,train
Honeysuckle Rose,1980-07-18,1980,17815212.0,train
Resurrection,1980-09-26,1980,3910019.0,train
Fatso,1980-02-01,1980,7653061.0,train
The Fiendish Plot of Dr. Fu Manchu,1980-08-08,1980,10697276.0,train
Serial,1980-03-28,1980,9870727.0,train
Hero at Large,1980-02-08,1980,15934737.0,train
Wholly Moses!,1980-06-13,1980,14155617.0,train
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",1980-05-30,1980,2013193.0,train
In God We Trust (or Gimme That Prime Time Religion),1980-09-26,1980,5215015.0,train
Roadie,1980-06-13,1980,4226370.0,train
Just Tell Me What You Want,1980-01-18,1980,2086905.0,train
The Last Flight of Noah's Ark,1980-06-25,1980,11000000.0,train
Little Miss Marker,1980-03-21,1980,6321392.0,train
Willie & Phil,1980-08-15,1980,4400000.0,train
Babylon,,1980,109749.0,train
Phobia,1980-09-09,1980,59167.0,train
Windows,1980-01-18,1980,2128395.0,train
Loving Couples,1980-10-24,1980,2806659.0,train
The King and the Mockingbird,1980-03-19,1980,167451.0,train
"Oh, God! Book II",1980-10-03,1980,14504277.0,train
"Those Lips, Those Eyes",1980-08-15,1980,804713.0,train
La Cage aux Folles II,1981-02-15,1980,6950125.0,train
The Gong Show Movie,1980-05-23,1980,6621520.0,train
Gilda Live,1980-03-28,1980,2261507.0,train
Why Would I Lie?,1980-08-08,1980,1175855.0,train
First Family,1980-12-25,1980,15198912.0,train
Indiana Jones and the Raiders of the Lost Ark,1981-06-12,1981,389925971.0,train
Body Heat,1981-08-28,1981,24058838.0,train
An American Werewolf in London,1981-08-21,1981,30669378.0,train
Escape from New York,1981-07-10,1981,25244626.0,train
The Evil Dead,1983-04-15,1981,2956630.0,train
Porky's,1982-03-19,1981,111289673.0,train
Blow Out,1981-07-24,1981,12000000.0,train
Clash of the Titans,1981-06-12,1981,41092328.0,train
Excalibur,1981-04-10,1981,34971136.0,train
Mad Max 2,1982-05-21,1981,23668369.0,train
Das Boot,1982-02-10,1981,11487676.0,train
Stripes,1981-06-26,1981,85297000.0,train
Possession,1983-10-28,1981,1113538.0,train
The Cannonball Run,1981-06-19,1981,72179579.0,train
Thief,1981-03-27,1981,11492915.0,train
Endless Love,1981-07-17,1981,32492674.0,train
Time Bandits,1981-11-06,1981,42368025.0,train
The Four Seasons,1981-05-22,1981,50427646.0,train
Friday the 13th Part 2,1981-05-01,1981,21722776.0,train
Scanners,1981-01-14,1981,14225876.0,train
For Your Eyes Only,1981-06-26,1981,54813222.0,train
Halloween II,1981-10-30,1981,25533818.0,train
Taps,1981-12-25,1981,35856053.0,train
Reds,1981-12-25,1981,40382659.0,train
On Golden Pond,1982-02-12,1981,119285432.0,train
The Fox and the Hound,1981-07-10,1981,63456988.0,train
Chariots of Fire,1982-04-09,1981,59303359.0,train
Absence of Malice,1981-12-18,1981,40716963.0,train
Tarzan the Ape Man,1981-07-24,1981,36565280.0,train
Victory,1981-07-31,1981,10853418.0,train
Arthur,1981-07-17,1981,95461682.0,train
My Dinner with Andre,1981-10-11,1981,5073.0,train
Caveman,1981-04-17,1981,15965924.0,train
History of the World: Part I,1981-06-12,1981,31672907.0,train
