movie_id,title,release_date,status,budget,revenue,runtime,genres,production_companies,production_countries,spoken_languages,original_language,vote_average,vote_count,popularity,adult
113727,Dark Seduction,2010-01-01,Released,0,0,89,Drama|Thriller|Romance,Lionsgate,Mexico,Español,es,6.799,102,1.6261,False
67250,12,2010-01-01,Released,0,0,3,Comedy,,United States of America,English,en,5.0,57,0.3124,False
43615,"Lula, the Son of Brazil",2010-01-01,Released,9500000,3785593,130,Drama|History,LC Barreto|Filmes do Equador|InterVideo Productions Limited|Globo Filmes,Brazil,Português,pt,5.5,90,1.3337,False
38883,Protect and Serve,2010-01-03,Released,0,3807808,90,Comedy|Crime|Action,M6 Films|Same Player|Pathé|SCOPE Pictures|Weber Investissements,France,Français,fr,4.5,106,0.5622,False
62105,Re-Cut,2010-01-04,Released,0,0,80,Horror|Thriller,Fritz Manger Productions|National Picture Show,United States of America,,en,6.535,115,0.7341,False
36298,"Me, Them and Lara",2010-01-05,Released,0,22039646,115,Comedy|Drama,Warner Bros. Pictures,Italy,Italiano,it,5.577,313,0.4575,False
37638,The Whistler,2010-01-06,Released,0,0,88,Comedy,M6 Films|Les Productions du Trésor|EuropaCorp,France,Français,fr,4.9,79,1.5528,False
73861,A Serbian Film,2010-01-06,Released,0,0,104,Crime|Horror|Thriller,Contra Film,Serbia,Srpski,sr,5.455,2236,14.6645,False
19901,Daybreakers,2010-01-06,Released,20000000,51417188,98,Action|Fantasy|Science Fiction,Lionsgate|Pictures in Paradise|Pacific Film and Television Commission|Furst Films|Australian Film Finance Corporation,United States of America|Australia,English,en,6.285,2210,4.7373,False
53861,Die,2010-01-06,Released,0,0,91,Thriller|Mystery,Caramel Films,Canada|Italy,English,en,4.712,66,0.8786,False
50475,No Mercy,2010-01-07,Released,0,0,125,Crime|Thriller|Action,Cinema Service|CJ Entertainment|The Dream & Pictures,South Korea,한국어/조선말,ko,7.393,211,2.4951,False
37234,Sex & Drugs & Rock & Roll,2010-01-08,Released,2000000,0,115,Drama,Prescience Film Fund|UK Film Council,United Kingdom,English,en,6.269,61,0.7841,False
25195,Leap Year,2010-01-08,Released,19000000,32686500,100,Romance|Comedy,Birnbaum/Barber Productions|Universal Pictures|Spyglass Entertainment|Octagon Films|BenderSpink,Ireland|United States of America,English,en,6.896,2182,3.3562,False
35458,Crazy on the Outside,2010-01-08,Released,0,88335,96,Comedy|Romance|Crime,,United States of America,English,en,5.267,148,1.3667,False
54424,Majority,2010-01-10,Released,0,34794,111,Drama,Özen Film|Yeni Sinemacılık,Turkey,Türkçe,tr,6.856,52,0.5881,False
40188,A Spot of Bother,2010-01-12,Released,0,0,108,Comedy,UGC YM,France,Français,fr,5.196,56,0.4748,False
44282,Plan B,2010-01-12,Released,0,0,103,Comedy|Drama|Romance,Brainjaus Producciones|Universidad del Cine|Oh My Gomez! Films,Argentina,Español,es,6.951,103,2.2333,False
35217,Friendship!,2010-01-13,Released,0,0,110,Comedy|Drama,Mr. Brown Entertainment|Wiedemann & Berg Film|Barefoot Films|SevenPictures Film,Germany,Deutsch,de,6.266,139,1.3439,False
46636,Nanga Parbat,2010-01-14,Released,7000000,0,103,Adventure|Drama,Perathon Film-und Fernsehproduktions,Germany,Deutsch|Italiano,de,6.613,62,1.8127,False
45077,Every Day,2010-01-14,Released,0,18000,93,Drama|Comedy|Romance,,United States of America,English,en,5.2,97,1.1329,False
69597,Aayirathil Oruvan,2010-01-14,Released,7500000,20000000,181,Action|Adventure,Dream Valley Corporation,India,தமிழ்,ta,6.6,50,1.1428,False
32511,"Police, Adjective",2010-01-14,Released,1089360,48298,110,Drama|Comedy|Crime,42 Km Film|Periscop Film|Racova|Raza Studio|HBO,Romania,Română,ro,6.453,64,0.9629,False
20504,The Book of Eli,2010-01-14,Released,80000000,157107755,118,Action|Thriller|Science Fiction,Alcon Entertainment|Silver Pictures,United States of America,English,en,6.805,6756,6.9498,False
23023,Tooth Fairy,2010-01-14,Released,48000000,112462508,101,Comedy|Family|Fantasy,Dune Entertainment|Dune Entertainment III|Walden Media|Mayhem Pictures|20th Century Fox|Blumhouse Productions,Canada|United States of America,English,en,5.491,2123,3.7939,False
53172,Henry's Crime,2010-01-14,Released,12000000,2200000,108,Crime|Comedy,Company Films,United States of America,English,en,5.8,387,2.1167,False
54532,Is It Just Me?,2010-01-15,Released,0,0,94,Drama|Comedy|Romance,Cinema175|Whitestone Acquisitions,United States of America,English,en,5.547,75,1.1096,False
29920,Easy Money,2010-01-15,Released,0,0,124,Drama|Thriller|Crime,Svenska Filminstitutet|Film i Väst|Tre Vänner|Nordisk Film Sweden|SVT|Nouvago Capital|Network Movie|ZDF/Arte,Denmark|Sweden|Germany,English|svenska,sv,6.433,263,1.6453,False
36940,The First Beautiful Thing,2010-01-15,Released,0,0,122,Comedy|Drama,Medusa Film|Motorino Amaranto|Indiana Production,Italy,Italiano,it,7.233,524,1.1776,False
23172,The Spy Next Door,2010-01-15,Released,28000000,66166000,94,Action|Comedy|Family,Spy Next Door|Relativity Media|Robert Simonds Productions|Lionsgate|Mandate International,United States of America,English,en,5.893,1431,5.7312,False
27651,Charles Band's Puppet Master: Axis of Evil,2010-01-15,Released,0,0,83,Horror|War,Full Moon Features|Full Moon Entertainment,United States of America,English,en,4.6,74,0.9761,False
50288,House of Bones,2010-01-16,Released,0,0,90,Horror|TV Movie,,United States of America,English,en,4.306,62,1.1523,False
65496,Student Services,2010-01-18,Released,0,0,101,Drama,Les Films du Kiosque,France,Français|Italiano,fr,5.312,146,5.8633,False
30587,Aziz Ansari: Intimate Moments for a Sensual Evening,2010-01-19,Released,0,0,56,Comedy,Comedy Central,United States of America,English,en,6.768,56,0.487,False
29564,Smokin' Aces 2: Assassins' Ball,2010-01-19,Released,8000000,0,86,Action|Comedy,Universal Studios Home Entertainment|Always Split Aces Productions|Working Title Films|Capital Arts Entertainment,United States of America|Canada,English,en,5.351,308,1.6847,False
31059,Our Russia: Eggs of Destiny,2010-01-20,Released,2000000,22212223,85,Comedy,Comedy Club Production,Russia,Pусский,ru,4.558,78,0.5362,False
