id,movie_id,person_id,name,character,cast_order,movie_title,movie_release_date
64660,2,54768,Turo Pajala,Taisto Kasurinen,0,Ariel,1988-10-21
64661,2,54769,Susanna Haavisto,Irmeli Pihlaja,1,Ariel,1988-10-21
64662,2,4826,Matti Pellonpää,Mikkonen,2,Ariel,1988-10-21
64663,2,54770,Eetu Hilkamo,Riku,3,Ariel,1988-10-21
64664,2,1177496,Erkki Pajala,Miner,4,Ariel,1988-10-21
64665,2,2493350,Matti Jaaranen,Mugger,5,Ariel,1988-10-21
64666,2,2509142,Hannu Viholainen,Accomplice,6,Ariel,1988-10-21
64667,2,110757,Jorma Markkula,Tallyman,7,Ariel,1988-10-21
64668,2,1034494,Tarja Keinänen,Woman in Harbour,8,Ariel,1988-10-21
64669,2,2509144,Eino Kuusela,Man on Beach,9,Ariel,1988-10-21
64670,2,1207858,Kauko Laalo,Night Hostel Manager,10,Ariel,1988-10-21
64671,2,2509145,Jyrki Olsonen,Man in Night Hostel,11,Ariel,1988-10-21
64672,2,53508,Esko Nikkari,Car Dealer,12,Ariel,1988-10-21
64673,2,53512,Marja Packalén,Judge,13,Ariel,1988-10-21
64674,2,2509146,Mikko Remes,Prison Doctor,14,Ariel,1988-10-21
64675,2,4829,Tomi Salmela,Guard,15,Ariel,1988-10-21
64676,2,2509147,Reijo Marin,Guard,16,Ariel,1988-10-21
64677,2,2509149,Heikki Salomaa,Guard,17,Ariel,1988-10-21
64678,2,1207842,Veikko Uusimäki,Mayor,18,Ariel,1988-10-21
64679,2,56273,Esko Salminen,Crook,19,Ariel,1988-10-21
2671,11,2,Mark Hamill,Luke Skywalker,0,Star Wars,1977-05-25
2672,11,3,Harrison Ford,Han Solo,1,Star Wars,1977-05-25
2673,11,4,Carrie Fisher,Princess Leia Organa,2,Star Wars,1977-05-25
2674,11,5,Peter Cushing,Grand Moff Tarkin,3,Star Wars,1977-05-25
2675,11,12248,Alec Guinness,"Obi-Wan ""Ben"" Kenobi",4,Star Wars,1977-05-25
2676,11,6,Anthony Daniels,C-3PO,5,Star Wars,1977-05-25
2677,11,130,Kenny Baker,R2-D2,6,Star Wars,1977-05-25
2678,11,24343,Peter Mayhew,Chewbacca,7,Star Wars,1977-05-25
2679,11,24342,David Prowse,Darth Vader (performer),8,Star Wars,1977-05-25
2680,11,15152,James Earl Jones,Darth Vader (voice) (uncredited),9,Star Wars,1977-05-25
2681,11,33032,Phil Brown,Uncle Owen,10,Star Wars,1977-05-25
2682,11,131625,Shelagh Fraser,Aunt Beru,11,Star Wars,1977-05-25
2683,11,132538,Jack Purvis,Chief Jawa,12,Star Wars,1977-05-25
2684,11,216087,Alex McCrindle,General Dodonna,13,Star Wars,1977-05-25
2685,11,69249,Eddie Byrne,General Willard,14,Star Wars,1977-05-25
2686,11,47401,Drewe Henley,Red Leader,15,Star Wars,1977-05-25
