id,movie_id,person_id,name,job,department,movie_title,movie_release_date
29930,2,16767,Aki Kaurismäki,Director,Directing,Ariel,1988-10-21
29932,2,16767,Aki Kaurismäki,Producer,Production,Ariel,1988-10-21
29931,2,16767,Aki Kaurismäki,Writer,Writing,Ariel,1988-10-21
1441,11,1,George Lucas,Director,Directing,Star Wars,1977-05-25
1438,11,1,George Lucas,Executive Producer,Production,Star Wars,1977-05-25
1439,11,12401,Gary Kurtz,Producer,Production,Star Wars,1977-05-25
1440,11,1,George Lucas,Writer,Writing,Star Wars,1977-05-25
2740,12,7,Andrew Stanton,Director,Directing,Finding Nemo,2003-05-30
2745,12,7879,John Lasseter,Executive Producer,Production,Finding Nemo,2003-05-30
2741,12,9,Graham Walters,Producer,Production,Finding Nemo,2003-05-30
2742,12,11,David Reynolds,Screenplay,Writing,Finding Nemo,2003-05-30
2743,12,10,Bob Peterson,Screenplay,Writing,Finding Nemo,2003-05-30
2744,12,7,Andrew Stanton,Screenplay,Writing,Finding Nemo,2003-05-30
1452,13,24,Robert Zemeckis,Director,Directing,Forrest Gump,1994-06-23
1451,13,28,Wendy Finerman,Producer,Production,Forrest Gump,1994-06-23
1453,13,30,Steve Starkey,Producer,Production,Forrest Gump,1994-06-23
1454,13,29,Steve Tisch,Producer,Production,Forrest Gump,1994-06-23
1450,13,27,Eric Roth,Screenplay,Writing,Forrest Gump,1994-06-23
11267,14,39,Sam Mendes,Director,Directing,American Beauty,1999-09-15
11265,14,8216,Dan Jinks,Producer,Production,American Beauty,1999-09-15
11266,14,8215,Bruce Cohen,Producer,Production,American Beauty,1999-09-15
11268,14,2152,Alan Ball,Writer,Writing,American Beauty,1999-09-15
21103,15,40,Orson Welles,Director,Directing,Citizen Kane,1941-04-17
21104,15,40,Orson Welles,Producer,Production,Citizen Kane,1941-04-17
21105,15,40,Orson Welles,Screenplay,Writing,Citizen Kane,1941-04-17
21106,15,30012,Herman J. Mankiewicz,Screenplay,Writing,Citizen Kane,1941-04-17
2282,18,59,Luc Besson,Director,Directing,The Fifth Element,1997-05-02
2283,18,60,Patrice Ledoux,Producer,Production,The Fifth Element,1997-05-02
2284,18,61,Robert Mark Kamen,Screenplay,Writing,The Fifth Element,1997-05-02
2285,18,59,Luc Besson,Screenplay,Writing,The Fifth Element,1997-05-02
33935,19,68,Fritz Lang,Director,Directing,Metropolis,1927-01-10
33934,19,67,Erich Pommer,Producer,Production,Metropolis,1927-01-10
33936,19,68,Fritz Lang,Screenplay,Writing,Metropolis,1927-01-10
33937,19,157,Thea von Harbou,Screenplay,Writing,Metropolis,1927-01-10
2052,22,1704,Gore Verbinski,Director,Directing,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09
2055,22,2446,Chad Oman,Executive Producer,Production,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09
2056,22,2444,Mike Stenson,Executive Producer,Production,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09
2057,22,1186326,Paul Deason,Executive Producer,Production,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09
2058,22,2443,Bruce Hendricks,Executive Producer,Production,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09
2051,22,770,Jerry Bruckheimer,Producer,Production,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09
2053,22,1706,Terry Rossio,Screenplay,Writing,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09
2054,22,1705,Ted Elliott,Screenplay,Writing,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09
3855,24,138,Quentin Tarantino,Director,Directing,Kill Bill: Vol. 1,2003-10-10
3849,24,54252,E. Bennett Walsh,Executive Producer,Production,Kill Bill: Vol. 1,2003-10-10
3850,24,16849,Erica Steinberg,Executive Producer,Production,Kill Bill: Vol. 1,2003-10-10
3851,24,59839,Harvey Weinstein,Executive Producer,Production,Kill Bill: Vol. 1,2003-10-10
3852,24,1307,Bob Weinstein,Executive Producer,Production,Kill Bill: Vol. 1,2003-10-10
3853,24,12183,Mitsuhisa Ishikawa,Executive Producer,Production,Kill Bill: Vol. 1,2003-10-10
3848,24,2545,Lawrence Bender,Producer,Production,Kill Bill: Vol. 1,2003-10-10
3854,24,235121,Katsuji Morishita,Producer,Production,Kill Bill: Vol. 1,2003-10-10
3847,24,138,Quentin Tarantino,Writer,Writing,Kill Bill: Vol. 1,2003-10-10
52094,25,39,Sam Mendes,Director,Directing,Jarhead,2005-11-04
52095,25,135,Bobby Cohen,Executive Producer,Production,Jarhead,2005-11-04
52097,25,136,Sam Mercer,Executive Producer,Production,Jarhead,2005-11-04
52096,25,19862,Lucy Fisher,Producer,Production,Jarhead,2005-11-04
52098,25,931,Douglas Wick,Producer,Production,Jarhead,2005-11-04
52099,25,142,William Broyles Jr.,Screenplay,Writing,Jarhead,2005-11-04
6924,28,1776,Francis Ford Coppola,Director,Directing,Apocalypse Now,1979-05-19
6925,28,1776,Francis Ford Coppola,Producer,Production,Apocalypse Now,1979-05-19
6926,28,8328,John Milius,Writer,Writing,Apocalypse Now,1979-05-19
6927,28,1776,Francis Ford Coppola,Writer,Writing,Apocalypse Now,1979-05-19
17996,33,190,Clint Eastwood,Director,Directing,Unforgiven,1992-08-07
17997,33,3718,David Valdes,Executive Producer,Production,Unforgiven,1992-08-07
17998,33,190,Clint Eastwood,Producer,Production,Unforgiven,1992-08-07
17999,33,7191,David Webb Peoples,Writer,Writing,Unforgiven,1992-08-07
10248,35,197,David Silverman,Director,Directing,The Simpsons Movie,2007-07-25
10238,35,1128341,Nikki Vanzo,Executive Producer,Production,The Simpsons Movie,2007-07-25
10237,35,3388,James L. Brooks,Producer,Production,The Simpsons Movie,2007-07-25
10240,35,162931,Al Jean,Producer,Production,The Simpsons Movie,2007-07-25
10242,35,5741,Matt Groening,Producer,Production,The Simpsons Movie,2007-07-25
10243,35,165810,Mike Scully,Producer,Production,The Simpsons Movie,2007-07-25
10244,35,1128337,Peter Gave,Producer,Production,The Simpsons Movie,2007-07-25
10245,35,1128340,Matt Orefice,Producer,Production,The Simpsons Movie,2007-07-25
10250,35,193307,Jay Kleckner,Producer,Production,The Simpsons Movie,2007-07-25
10251,35,1128338,Amanda Moshay,Producer,Production,The Simpsons Movie,2007-07-25
10252,35,1128339,Felicia Nalivansky,Producer,Production,The Simpsons Movie,2007-07-25
10257,35,57572,Richard Sakai,Producer,Production,The Simpsons Movie,2007-07-25
10259,35,1219059,Claudia Katz,Producer,Production,The Simpsons Movie,2007-07-25
10239,35,6056,Mike Reiss,Screenplay,Writing,The Simpsons Movie,2007-07-25
10241,35,5741,Matt Groening,Screenplay,Writing,The Simpsons Movie,2007-07-25
10246,35,58178,David Mirkin,Screenplay,Writing,The Simpsons Movie,2007-07-25
10247,35,7088,Sam Simon,Screenplay,Writing,The Simpsons Movie,2007-07-25
10249,35,165843,Matt Selman,Screenplay,Writing,The Simpsons Movie,2007-07-25
10253,35,165810,Mike Scully,Screenplay,Writing,The Simpsons Movie,2007-07-25
10254,35,162931,Al Jean,Screenplay,Writing,The Simpsons Movie,2007-07-25
10255,35,239,Jon Vitti,Screenplay,Writing,The Simpsons Movie,2007-07-25
10256,35,3388,James L. Brooks,Screenplay,Writing,The Simpsons Movie,2007-07-25
10258,35,1216632,Ian Maxtone-Graham,Screenplay,Writing,The Simpsons Movie,2007-07-25
10260,35,963556,John Swartzwelder,Screenplay,Writing,The Simpsons Movie,2007-07-25
10261,35,1216631,George Meyer,Screenplay,Writing,The Simpsons Movie,2007-07-25
5673,38,201,Michel Gondry,Director,Directing,Eternal Sunshine of the Spotless Mind,2004-03-19
5677,38,56759,David L. Bushell,Executive Producer,Production,Eternal Sunshine of the Spotless Mind,2004-03-19
5678,38,202,Charlie Kaufman,Executive Producer,Production,Eternal Sunshine of the Spotless Mind,2004-03-19
5679,38,12032,Glenn Williamson,Executive Producer,Production,Eternal Sunshine of the Spotless Mind,2004-03-19
5680,38,4276,Georges Bermann,Executive Producer,Production,Eternal Sunshine of the Spotless Mind,2004-03-19
5674,38,321,Anthony Bregman,Producer,Production,Eternal Sunshine of the Spotless Mind,2004-03-19
5675,38,322,Steve Golin,Producer,Production,Eternal Sunshine of the Spotless Mind,2004-03-19
5676,38,202,Charlie Kaufman,Screenplay,Writing,Eternal Sunshine of the Spotless Mind,2004-03-19
17957,55,223,Alejandro González Iñárritu,Director,Directing,Amores Perros,2000-06-16
17955,55,69871,Martha Sosa Elizondo,Executive Producer,Production,Amores Perros,2000-06-16
17958,55,1114888,Francisco González Compeán,Executive Producer,Production,Amores Perros,2000-06-16
17956,55,223,Alejandro González Iñárritu,Producer,Production,Amores Perros,2000-06-16
17959,55,273,Guillermo Arriaga,Writer,Writing,Amores Perros,2000-06-16
3295,58,1704,Gore Verbinski,Director,Directing,Pirates of the Caribbean: Dead Man's Chest,2006-07-06
3297,58,2443,Bruce Hendricks,Executive Producer,Production,Pirates of the Caribbean: Dead Man's Chest,2006-07-06
3298,58,2444,Mike Stenson,Executive Producer,Production,Pirates of the Caribbean: Dead Man's Chest,2006-07-06
3299,58,2445,Eric McLeod,Executive Producer,Production,Pirates of the Caribbean: Dead Man's Chest,2006-07-06
3300,58,2446,Chad Oman,Executive Producer,Production,Pirates of the Caribbean: Dead Man's Chest,2006-07-06
3296,58,770,Jerry Bruckheimer,Producer,Production,Pirates of the Caribbean: Dead Man's Chest,2006-07-06
3301,58,1705,Ted Elliott,Screenplay,Writing,Pirates of the Caribbean: Dead Man's Chest,2006-07-06
3302,58,1706,Terry Rossio,Screenplay,Writing,Pirates of the Caribbean: Dead Man's Chest,2006-07-06
2972,62,240,Stanley Kubrick,Director,Directing,2001: A Space Odyssey,1968-04-02
2968,62,240,Stanley Kubrick,Producer,Production,2001: A Space Odyssey,1968-04-02
2971,62,257,Victor Lyndon,Producer,Production,2001: A Space Odyssey,1968-04-02
2969,62,240,Stanley Kubrick,Screenplay,Writing,2001: A Space Odyssey,1968-04-02
2970,62,241,Arthur C. Clarke,Screenplay,Writing,2001: A Space Odyssey,1968-04-02
5966,63,280,Terry Gilliam,Director,Directing,Twelve Monkeys,1995-12-29
5970,63,283,Robert Cavallo,Executive Producer,Production,Twelve Monkeys,1995-12-29
5971,63,284,Gary Levinsohn,Executive Producer,Production,Twelve Monkeys,1995-12-29
5972,63,285,Robert Kosberg,Executive Producer,Production,Twelve Monkeys,1995-12-29
5969,63,282,Charles Roven,Producer,Production,Twelve Monkeys,1995-12-29
5967,63,7191,David Webb Peoples,Screenplay,Writing,Twelve Monkeys,1995-12-29
5968,63,281,Janet Peoples,Screenplay,Writing,Twelve Monkeys,1995-12-29
12586,65,323,Curtis Hanson,Director,Directing,8 Mile,2002-11-08
12582,65,120606,Gregory Goodman,Executive Producer,Production,8 Mile,2002-11-08
12584,65,40375,Jim Whitaker,Executive Producer,Production,8 Mile,2002-11-08
12585,65,62640,Paul Rosenberg,Executive Producer,Production,8 Mile,2002-11-08
12588,65,329,Carol Fenelon,Executive Producer,Production,8 Mile,2002-11-08
12580,65,339,Brian Grazer,Producer,Production,8 Mile,2002-11-08
12581,65,340,Jimmy Iovine,Producer,Production,8 Mile,2002-11-08
12583,65,323,Curtis Hanson,Producer,Production,8 Mile,2002-11-08
12587,65,324,Scott Silver,Writer,Writing,8 Mile,2002-11-08
51755,67,357,Hany Abu-Assad,Director,Directing,Paradise Now,2005-09-07
51756,67,1125679,Jeroen van den Idsert,Producer,Production,Paradise Now,2005-09-07
51757,67,1125681,Muhammed Buqai,Producer,Production,Paradise Now,2005-09-07
51758,67,161,Amir Harel,Producer,Production,Paradise Now,2005-09-07
51759,67,758,Bero Beyer,Producer,Production,Paradise Now,2005-09-07
51760,67,55486,Hengameh Panahi,Producer,Production,Paradise Now,2005-09-07
